এইতো আমি রাস্তায়!	দুঃখিত।
কী বলেছে?	আধিকারিদের ব্যবহার করে এবং সরাসরি চাপ প্রয়োগ করে আপনাকে নিয়ন্ত্রণ করতে আমেরিকার কাছে দাবি জানিয়েছে।
 কী?	কালকে এটা নিউইয়র্ক টাইমসের ফ্রন্ট পেজে থাকবে। 
তুমি জানতে?	জ্বি, স্যার।
এখন কী করব তাহলে?	এটা পরিষ্কাররূপে বিরোধিতা।
গভর্নরকে আপনারবহিষ্কার করতে হবে।	একটা সাক্ষাৎকারের জন্য যদিএমনটা করেন,
আমেরিকা কিন্তু চুপ করে থাকবে না।	তুমি কি কেসিআইএ এর ডিরেক্টর নাকি সিআইএ এর?
যদি আমেরিকার প্রতি এতই ভালোবাসা থাকে	তো গিয়ে সিআইএ তে যোগ দাও গা  যদি গভর্নর কিমকে বহিষ্কার করেন
 জনগণ কিন্তু আর শান্ত থাকবে না।	সিকিউরিটি কমান্ডার এক্ষুনি দেখা করার অনুরোধ জানিয়েছেন।
আসতে দাও।	প্রাক্তন কেসিআইএ পরিচালকের আত্মজীবনী উন্মোচিত হয়েছে
প্রেসিডেন্ট পার্কের কার্যকপ ফাঁস	আমাকে কি তোমার  পাগল মনে হয়?
নিজের কবর নিজে কেন খুঁড়তে যাবো?	আত্মজীবনীটা তোমার পুঁতে বা পুড়িয়ে ফেলা উচিত ছিল!
করোনি কেন?	আমি তো ঝামেলা মিটিয়ে দিয়েছিলাম! 
 শুধু এফবিআই আর কেসিআইএ এর ডিরেক্টর কিমের কাছে এর কপি আছে	তাহলে কি কিম ফাঁসাচ্ছে আমাকে?
এমন করতে যাবে কেন?	সিক্রেটগুলোই তো তোমার শক্তি ছিল।
কীভাবে সেগুলো সামনে আসতে দিতে পারো?	বাইটাতে কোনো সিক্রেটই নেই।
আমি একটা খারাপ লোক।	ওরাও খারাপ।
সবাই খারাপ।		কোনো সিক্রেট নেই।  
ঐ আত্মজীবনীতে ব্যস একটা মেসেজ আছে।	চলো সবাই মরি।
আমি একা ডুবছি না।	 সবাইকে নিয়ে মরব।
এতে কোনো সিক্রেট নেই!		ধুর শালা! 
কোনো সিক্রেট নেই।	কখন যে দেশে ফিরব?
হারামিগুলোর দিন যে কবে শেষ হবে?	এই দুনিয়া কি বদলাবে?
শুধুই নামে।	এর থেকে মনে পড়লো
যদি প্রেসিডেন্টকে নামায়,	তাহলে আমেরিকার সাহায্য করবে কে?
ওরা আবার কোনো সৈনিকের উপর ভরসা করবে না।	কিন্তু গ্যু-প্যেওংয়ের সাথে ওদের সম্পর্ক আছে।
 আর গয়াক তো একটা অপদার্থ।	কমপক্ষে ওরা তার সাথে ভদ্রভাবে কথা তো বলবে।
ও ঠিকমতো পারবে?	কোন ব্যাপারে?
কোনো ফন্দি আঁটছ।	খারাপ হবে ভাবছ?
গ্যু-প্যেওং বেশিদিন টিকবে না। 	ওকে হুঁশে আসতে হবে।  
প্রেসিডেন্ট ওনার দুই নম্বরকে বাঁচতে দিবেন না।	ব্যস একটা সূর্যই থাকবে।
তো তৃতীয় সাংবিধানিক সংশোধনে কাউন্সিলর কিম বিরোধিতা করছে?		জ্বি, স্যার।
উল্লেখযোগ্য সংখ্যক কাউন্সিল  তাকে সমথর্ন দিচ্ছে।	তুমি কী পরামর্শ দিবে?
আমি শুধু আপনার আদেশ পালন করব।	আমার তরফ থেকে পূর্ণ সমর্থন আছে।
 যেভাবে চাও কাজ করোতৃতীয় সংশোধনীতে কাজ ভালো ছিল।	ধন্যবাদ, স্যার।
 একটা বিরতি নিচ্ছ না কেন? 	 ব্যাপারটা মিডিয়ার সামনে খারাপ দেখাচ্ছে।
দুই দলেরই মাথা খারাপ হয়ে যাচ্ছে।	তোমার একটু সহজভাবে দেখা উচিত ছিল।
স্যার কিন্তু কাউন্সিলর কিম কেন?	কেন আবার আমাকেসবার নজরে খারাপ সাজাচ্ছ?
ওভাবে একটা লোককে মারধর করার পরপার পেয়ে যাবে ভেবেছিলে?	স্যার আপনার জন্য আমার সর্বোচ্চটা দিয়েছি।তুমি জমি কিনছ?
জ্বি?	শুনলাম ছোট এই দেশে তুমি নাকি জমি কিনছ।
টাকার ব্যাগটা রেখে বাসায় যাও।	আমি না ডাকা পর্যন্ত বাসাতেই থাকবে। 
প্রেসিডেন্ট সাহেব। 	আমি, পার্ক ইয়োং-গাক, কখনোই টাকার ব্যাপারে জড়াইনি।
কসম খোদার কখনোই নিজ স্বার্থে অন্ধ হইনি।	টাকা দিয়ে যাবে, ব্যস।  
লোভে বশীভূত হয়ে নিজেকে ডুবিয়ো না।		প্রেসিডেন্ট সাহেব!
স্যার।	২৬ সেপ্টেম্বর, নামসানে অবস্থিত কেসিআইএ এর হেডকোয়ার্টার
 স্যার, সিকিউরিটি ডিভিশনের ওয়্যারট্যাপিং টিমকেপ্রশিক্ষণ দেওয়া যে প্রফেসরের কথা বলেছিলাম,	সে ওয়াশিংটনে ছিল।
সেখানে ডিরেক্টর পার্কের টেলিফোনে আড়ি পেতেছিল।		সে নিচেই আছে।
ভালো প্রতিষ্ঠানে লেখাপড়া করেছেন	প্রফেসর লিম।
আমি ব্যস একজন ফ্রীলান্সার।	আমাকে বলা হয় আপনি ওয়াশিংটনে কেসিআইএ এর প্রাক্তন পরিচালক পার্কের কথায় আড়ি পেতেছিলেন।
এটা কেসিআইএ।	বেশ..নিজেকে মৃত বিবেচনা করে,যা জানেন বলে ফেলুন।
ওখানে এক কেসিআইএ এজেন্টের সাথে আমার দেখা হয়।	জেমস র‍্যয়ু এক্সপোর্টার সেজেছিল।
ওনাকে প্রায়ই অ্যাম্বাসিতে আসতে দেখতাম।	আর এই কেসিআইএ এজেন্ট র‍্যয়ু আপনাকে ভাড়া করেছিল পার্কের টেলিফোনে আড়ি পাততে?
জ্বি,যখন আমি ফিরি,	সিকিউরিটি ডিভিশন থেকেআমার কাছে একটা ফোন আসে।	আমাকে আপনার কথায় আড়ি পাতার জন্য ভাড়া করা হয়।আমার?
আড়ি পাতার জন্য?	আমেরিকায় প্রফেসর লিমকে যে ভাড়া করেছিল তাকে পাওয়া গেছে।
জেমস র‍্যয়ু।	 কোরিয়ান নাম ইয়ু ডং-হুন।
এখন প্যারিস এম্বাসিতে আছে।	একজন কেসিআইএ এজেন্ট
আমার নির্দেশ ছাড়া একধাপও নড়বে না।		ওকে নির্দেশ দিলোটা কে?
ইয়ু এয়ারফোর্সে থাকতে	গয়াকের সহযোগী ছিল।
গয়াকই কেসিআইএ-তে ওর সুপারিশ করেছিল।	এজেন্ট হামকে প্যারিসে পাঠাও।  
"২৯ সেপ্টেম্বর, প্যারিস, ফ্রান্স"তাহলে হোটেলে?	ওকে কোরিয়াতে ফিরিয়ে আনাই সবচেয়ে ভালো হবে।
এম্বাসেডর ইয়ুন ত্যে-হো"	এখানে আনা একটু কঠিন হবে।
কেসিআইএ এজেন্ট ইয়ু ডং-হুন ও আমাকে নামাবে?	আমেরিকানদের সাথে ওর ভালো সম্পর্ক আছে।
পার্কের মরার জন্য এতই সুড়সুড় করছে?		প্রেসিডেন্ট সাহেব।
ওকে কি খতম করে দিব?	স্যার, আপনাকে আমার কিছু বলার আছে।
মাথামোটা ১ অক্টোবর,	 প্যারিসের কোরিয়ান অ্যাম্বাসি	
খেয়েছেন?	হ্যাঁ। স্যার, এম্বাসেডর ইয়ুন পার্ককে প্যারিসে আসার আমন্ত্রণ জানিয়েছে। 
ইয়ুনকে প্ল্যান মোতাবেক কাজ করতে বলো।	২ অক্টোবর, জাতীয় সংসদের স্পিকারের ওয়েলকাম পার্টি"জনসন সাহেব, কেমন আছেন?-
 রবার্ট, আপনাকে দারুণ লাগছে।-	 আপনি বেশ আন্তরিক। 
ইনি ডেবোরাহ শিম। 	ডেবোরাহ, রবার্ট এডভার্ট।
এটা সম্মানের ব্যাপার।	 অবশেষে আপনার সাথে সাক্ষাৎ হয়ে খুব ভালো লাগছে,
 এম্বাসেডর সাহেব।	প্লিজ বসুন।
ধন্যবাদ।	 জনসন সাহেব! 
কোরিয়ায় আসার জন্য অনেক অনেক ধন্যবাদ। 	আমি জনাব গয়াক।
 প্রেসিডেন্সিয়াল সিকিউরিটি সার্ভিসের চিফ এক্সিকিউটিভ। 	প্রেসিডেন্ট পার্ক এখানে আপনার উপস্থিতিতে অনেক আনন্দিত।
 ডিরেক্টর, দেখা হয়ে ভালো লাগলোজেনারেল ছুন!	আসো স্বাক্ষাত করো।
এ হচ্ছে...ইউএস অ্যাম্বাসি কোরিয়ার মধ্যে সবচেয়ে সেরা জায়গা। 	ব্যস আবহাওয়াটা অনুভব করো।
ঠিক?	পার্ক ওর হংকংয়ের এক বন্ধুর থেকে শুনেছে যে কিনা ফেং শ্যুই চর্চা করে। 
ব্লু হাউস কোরিয়ার মধ্যে সবচেয়ে অশুভ জায়গা। 	যে কারণে ওখান থেকে কর্তা বেঁচে বের হতে পারবে না।
টেনে বের করাটা কর্তার জন্যও ভালো হবে।	পার্ক বলেছে ও বেশিক্ষণ অপেক্ষা করতে পারবে না। 
এর মানে কী?	ও কাজটা করতে চায়।
বলেছে যে, এবারে নতুন কর্তা আসার সময় হয়েছে।	মাথাটা কি গেছে?
তুমি এমনিতেই জানো এ ব্যস সময়ের ব্যাপার।	 এই ঘরের কেউ এটা নিয়ে ভাবছে না।
কে আগে তলোয়ারটা বের করবে?	কে আগে হান নদী পার করবে?
কে আগে বাজিমাত করবে?	তোমার স্বপ্নটা ভালোই। 
 স্বপ্ন হতে পারে পার্কের জন্য, 	কিন্তু তোমার জন্য না।
কী ভেবেছ,	 তোমাকে সিংহের গুহায় একা পাঠাবো?
এম্বাসেডর পার্ককে প্যারিসে আমন্ত্রণ জানিয়েছে।	 ইয়ুন?হ্যাঁ।
 টোকিও থেকে প্রাক্তন প্রাইম মিনিস্টার হোয়াংকেও ডেকে পাঠিয়েছে।	হোয়াং আসছে?হ্যাঁ।
 এম্বাসেডর আর ইয়ু গয়াকের থেকে নির্দেশ নিচ্ছে।	নজর রাখো আর দেখো ইয়ু আর ইয়ুন কী ষড়যন্ত্র করছে।
জ্বি, স্যার।	"৪ অক্টোবর, ভেনডম, প্যারিস"ডিরেক্টর পার্ক!
অনেকদিন পর দেখা।	তোমাকে বেশ ক্লান্ত মনে হচ্ছে। 
চলো এবারে উসুল করে নেওয়া যাক।	 চলো। হোয়াং তোমার জন্য টোকিও থেকে আসছে। 
ওর মাধ্যমে এর সমাধান হয়ে গেলেই সবচেয়ে ভালো হবে।	 তো হাঁটু গেড়ে হোয়াংয়ের কাছে ভিক্ষা চাইবো?
প্রেসিডেন্ট হোয়াংকে বলেছে,	"আমি হাল ছেড়ে দিয়েছি।  
আমি আর পার্কের সাথে লড়াই করতে চাই না।	ওকে ব্যস ফিরিয়ে আনো।
"ওনার টাকাটা ফিরিয়ে দিলে উনি তোমাকে ক্ষমা করে দিবেন।	কীসের টাকা?
কোন টাকা নিয়েছি আমি?	সত্যিই এমনটা বলেছে?
একদম।	প্রেসিডেন্ট হোয়াংয়ের কথা শোনে, তুমি তো জানোই।
ডিরেক্টর কিমকে বহিষ্কার করা হচ্ছে নিশ্চিত তো?	হ্যাঁ। তোমার কারণে ও কোনো রকম টিকে আছে। 
আজ সকালের সমাবেশেওথাকতে পারেনি।	ওকে গয়াক সরিয়েছে।
যে লোকটা প্রেসিডেন্টের সুইস ব্যাংকের অ্যাকাউন্ট সামলাচ্ছে তার নাম ইয়াগো।	আমি বলছি যে আমাদের চাইতেও ক্ষমতাধর কেউ আছে।
আমাকে কোনো বিশ্বাসযোগ্য সোর্স দাও।		সিআইএ প্রেসিডেন্টের টাকা প্রচারের ব্যাপারে তদন্ত করছিল। 
তখন ওরা জানতে পারে যে উনি কেসিআইএ এর পিঠের পেছনে	 সব টাকা সুইস অ্যাকাউন্ট আর জলকাদা তহবিলে ঢালছেন।  
স্যার, ইয়ু ওর ইসরায়েলি সংযোগের মাধ্যমে বন্ধুক আনিয়েছে।	যেমনটা বলেছিলেন, গয়াক বোধহয় পার্ককে মারার পরিকল্পনা করছে।
 আমি কীভাবে আগাবো?	স্যার?হ্যাঁ প্রেসিডেন্ট সাহেব। 
শুধু আমরা দুজনই গভীর রাত পর্যন্ত কাজ করি।	বেশ একা লাগছিল।
খাবে? গ্যু-প্যেওং।	জ্বি, স্যার।
কী মনে হয় আমার সময় কখন শেষ হবে?	এমন না যে আমি হাজার বছর বাঁচবো।
কে হবে আমার উত্তরাধিকারী?	তোমার হওয়া উচিত।
 কেন?  তেমন মনে হয় না?
আমি সবসময় আপনার পাশে থাকবো।	পার্কের কী করবে?
স্যার	 আমাকে আপনি কী করতে বলছেন?
আমার তরফ থেকে পূর্ণ সমর্থন আছে।	যেভাবে চাও কাজ করো।
বিপ্লবের বিদ্রোহী লেখক, 	পার্ক ইয়োং-গাক" স্যার, 
আমার এখানে তিনজন আলজেরিয়ান কিলার প্রস্তুত আছে।	পার্ক কোথায়?  
হোটেলে আছে। 	ডেবোরাহ শিম জলদিই পৌঁছে যাবে।
 আপনার নির্দেশ কী, স্যার?	"৭ অক্টোবর, প্যারিস চার্লস দে গাউল্লে এয়ারপোর্ট"
পার্ক কোথায়?	ক্যাসিনোতে।
এটা পার্কের জন্য ভালো যে কিম ওর পক্ষে আছে।	১৮ বছর একনায়কতন্ত্রের এবার শেষ হবার পালা।
পার্ককে টোপ দেওয়ার জন্য বলছ আমায়? 	আমাদের তো এই কথা হয়নি। 
কিম চেয়েছিল আমি যেন পার্ককে বলি যে ওর পূর্ণ সমর্থন রয়েছে। 	আর এখন করছেটা কী?
 কিম তো দেখি চরম হারামি।	মুখ সামলে।
কাহিনী যে এমন হবে তোমার আগেই আমাকে জানানো উচিত ছিল।	ব্যাপারটা মোটেও মজার নয়।
কেসিআইএ কি এতই অকর্মা?	তাহলে কি প্যারিসে আসতে?
জানি না আমি এতে কেন রাজি হয়েছি।	তুমি এখন ডি.সি.তে ফিরে যেতে পারো,
কিন্তু আর কখনও সিউলে ফিরতে পারবে না। 	হুমকি দিচ্ছ?  
সিদ্ধান্ত তোমার,	 কিন্তু যেকোনো একটা বেছে নিতে হবে।
বাল আমার!	"সিউল আর্টস থিয়েটার বাচ্চাদের নাচ কোম্পানির ১৭তম বার্ষিক অনুষ্ঠান"ইয়ুন পার্ককে ৪০৭ নম্বর রুমে নিয়ে আসবেন।
প্রাইম মিনিস্টার হোয়াং কোথায়?	ঝোড়ো বাতাসের কারণে ওর ফ্লাইট দেরি করেছে। 
ও আসার পর আমরা এখানে দেখা করব।  	এখানে? উপরে, ৪০৭ নম্বর রুমে।
আমি ফ্রন্ট ডেস্কে গিয়ে দেখিহোয়াং এসেছে কিনা।	বলেছিলাম তোমায়সব বাজি না ধরতে।
আরে, ডেবোরাহ। 	এখানে কী করছ?
হাতটা পাকা হচ্ছে।	আজ বোধহয় বড় দান মারবো।
ফ্রান্সে কোন কাজে?	জনসনের সাথে এসেছি।
পার্ককে ৪০৭ নম্বর রুমে নিয়ে যান।	 ডিরেক্টর কিম তোমাকে অপেক্ষা করতে বলেছে।
গ্যু-প্যেওং?	শুনলাম ওকে নাকি বাদ দিচ্ছে।
 কী?	যেসব ইউএস কাউন্সিলররা এসেছে সবাই ব্যস ওর সাথে দেখা করেছে। 
এম্বাসেডর ইয়ুন, শালা শয়তান কী?	গ্যু-প্যেওং রাজি?  
কিছু কাউন্সিলর আর জনসন জমায়েত হয়েছে।	কী?	
চলো গিয়ে হাই হ্যালো করবে।	আমাদের নিজেস্ব পরিকল্পনা দরকার।
আর নিজের দুর্নামটাওএকটু ঘোচানো হবে।	কাউন্সিলররা তোমাকে মোটেও পছন্দ করে না।
কোরিয়ান রাজনীতিবিদেরাও।	মাফ করবেন।
আমি এখানে তুমি কী করে জানলে?	ডিরেক্টর কিম বলেছে।
ও কী করে জানলো?	আমরা হাটবো না?
আমার পায়ে হাই হিল।	মাফ করবেন, আমাদের হাত থেকে ফসকে গেছে।
বোধহয় অন্যকেউ নাক গলিয়েছে।	ওহ, না, আমার হ্যাট!
কী হয়েছে?	কি ঝোড়ো বাতাস!
কী হচ্ছে এসব?	আমার নাক, আমার নাক!
ও আমার নাকে কামড় দিয়েছে!	কাজ সম্পন্ন হয়েছে। 
১৮ অক্টোবর, ব্লু হাউস"ডিরেক্টর কিম, তুমি কী বলো?	গভর্নর কিমকে পুনর্বহাল এবং বিরোধী দলের সাথে সমঝোতা করতে হবে।
ডিরেক্টর কিম!	দাঙ্গাবাজরা একটা পুলিশ স্টেশনে আগুন ধরিয়েছে,
আমাদের উৎখাত করার ষড়যন্ত্র করছে!	যুদ্ধ ঘোষণা করেছে!
স্যার, এখন ওরা কোনো নাগরিক না, 	বরং দাঙ্গাবাজ।
বুসানে কোর্ট মার্শালের ঘোষণা দিন। 	যদি এমনটা করেন, আশেপাশের শহরগুলোতে দাঙ্গা ছড়িয়ে পড়বে।
ট্যাংক দিয়ে ওদের পিষে ফেলুন, 	ব্যস কাহিনী খতম। 
"বুসানে বিশৃঙ্খলা"  আর্মি চিফ অব স্টাফ, 	তুমি কী বলো?"
আর্মি চিফ অব স্টাফ চ্যাং সেউং-হো"আমার কী করা উচিত?	আমরা যদি এয়ার ব্রিগেড পাঠাই,তাহলে ব্যাপারটা তৎক্ষণাত দমন করতে পারব।
 স্যার, আপনি মার্শাল ল'র ঘোষণা দিতে পারেন না। 	ব্যাপারটা তাহলে এয়ার ব্রিগেডের সাহায্যে নিয়ন্ত্রণ করা যাক। 
মার্শাল লয়ের ঘোষণা দাও।	পার্ক উধাও হয়েছে?
ওকে আর খুঁজে পাওয়া যাবে না।	আমি গভর্নর কিমের সাথে দেখা করতে যাবো।
দয়া করে মার্শাল ল উঠিয়ে নিন।	যদি ওকে খুঁজে না পাই, ওর নেওয়া টাকাগুলোর কী হবে?
জ্বি?	উধাও হয়েছে না হয়নি তাতে আমার কিছু যায় আসে না।
এমনিতেও ও একটা বিশ্বাসঘাতক।	 ওর হিসাব অনেক আগেই বাদ দিয়েছি।
ব্যস ওর নিয়ে যাওয়া টাকাগুলো ফিরিয়ে আনো।	নিজের কিছু খরচ ছাড়া,তেমন বেশি 
স্যার, এখন থেকে ব্যাপারটা জটিল হবে।		 আমেরিকা চুপ থাকবে না।
আমি এসব ঝামেলা মেটাতে পারি, 	কিন্তু আপনার সাহায্য দরকার। সাহায্য?
কিম তুমি কি আমাকে হুমকি দিচ্ছ?	হুমকি দিতে চাইলে,নজরকাড়া কিছু করো।
তোমার হয়েছেটা কী?	যা চেয়েছি সেটা দাও।
গয়াক কোথায়?	জ্বি, প্রেসিডেন্ট সাহেব। 
প্যারিস এখন কোন্দলের মুখে।	সিআইএ এর তথ্য অনুযায়ী,ফ্রান্সের কোরিয়ান এম্বাসেডর সম্ভবত এ সবকিছুতে জড়িত।
তো এখানে আসলে হচ্ছেটা কী?	আমরাও এই প্রশ্নের উত্তরজানার চেষ্টা করছি।  
আমি এটুকু নিশ্চিত করতে পারি যে এতে কেসিআইএ এর হাত নেই।	তাই? 
তাহলে তুমি এভাবে খেলতে চাচ্ছো?	কারণ যদি এমনটা হয়, আমি আর তোমাকে সমর্থন করব না।
ওয়াশিংটনে অনেক অভিযোগ আসছে।	আর তুমি মাফিয়া যুদ্ধের মতো মানুষজনকে কিডন্যাপ করছ, মারছ?
তোমরাই কি এখানে আসল গুন্ডা?	আবারও বলছি।
এসবে কেসিআইএ এর হাত নেই তুমি যদি ওসবে বিশ্বাস করতে চাও		তো করোগা কিন্তু সেক্ষেত্রে ইউএস সৈন্যদের কোরিয়া থেকে অপসারণ করা ব্যতীত আমার কাছে কোনো বিকল্প থাকবে না।
তখন কী করবে?	তাহলে কী?	
কী চাচ্ছ আমার থেকে?	পরবর্তী পদক্ষেপের প্রস্তুতি নাও!	
আমাদের হস্তক্ষেপ করতে হয় তার আগেই।	পার্ক শেষ। 
ডিরেক্টর, সেফ হাউসে আজ রাতে একটা আয়োজন আছে।	 তাহলে চলো সেখানে।
প্রেসিডেন্ট শুধু গয়াককে আমন্ত্রণ জানিয়েছে। 	আমাকে আমন্ত্রিত করা হয়নি?
না, স্যার।	কালার টিভির চাহিদা অনেক।
জনগণ আমাকে রঙ্গিন দেখুক তাই চাচ্ছ?	আমার সাদা-কালো পছন্দ।
আপনাকে সাদা-কালোতেইবেশি ভালো লাগে।	ওরা বলেছে লাইনে এরপর কিম আছে, আর ও ইংরেজিতে ভালো কথাও বলতে পারে।
বুসান থেকে কোনো খবর এসেছে?	উত্তর কোরিয়া আর বিরোধী দল সম্পর্কিত প্রমাণেরব্যবস্থা নিয়েছি আমি।
কিমের হয়েছেটা কী?	এয়ার ব্রিগেডের কথা বলায় আমার দিকে কেমন তীক্ষ্ণ দৃষ্টিতে তাকিয়েছিল, 
দেখেছিলে?	এটা জরুরি অবস্থা।
 ও এত বোকা কেন?	স্যার...কিমের খেল খতম।
হ্যাঁ?	আচ্ছা।
বুসানের দাঙ্গাবাজদের মাথা খারাপ হয়ে গেছে।	ওরা একটা টিভি স্টেশনেও আগুন ধরিয়েছে।
আমি একটা ফোন করে আসছি।	হ্যাঁ। কী?
কী বলেছে?	আমি শেষ?
ঐ আমেরিকান মাল সত্যিই এমনটা বলেছে?  কিম কী বলেছে?
এই হারামিটাও এক জাতের!	ঐ আমেরিকানদের পক্ষ নিয়েকী করতে পারবে?
যদি ও গনতন্ত্র এতই ভালোবাসে,	বলো গিয়ে আমেরিকায় থাকতে।
এমনকি নিজের বন্ধুকেও মেরেছে।	কী করে ওকে বিশ্বাস করতে পারি?
শয়তান কোথাকার...কী মনে হয় কিমের কী করা উচিত আমার?	আমার তরফ থেকে পূর্ণ সমর্থন আছে।
যেভাবে চাও কাজ করো।	এমনকি নিজের বন্ধুকেও মেরেছে।
কী করে ওকে বিশ্বাস করতে পারি?	শয়তান কোথাকার...কী মনে হয় কিমের কী করা উচিত আমার?
আমার তরফ থেকে পূর্ণ সমর্থন আছে।	যেভাবে চাও কাজ করো।
ডিরেক্টর।	বুসানে আপনার উপস্থিতি দরকার, স্যার।
পরিস্থিতি বেশ গম্ভীর। 	"২৪ অক্টোবর, বুসান"দাঙ্গাবাজরা টিভি স্টেশনকে নিজেদের কব্জায় নিয়েছে।
দাঙ্গা দ্রুততার সাথে মাসানের দিকে ছড়াচ্ছে।	যেন ছাত্রসমাজ এবং সাধারণ নাগরিকদের তরফ থেকে কোনো বিদ্রোহ যা প্রেসিডেন্ট লিয়ের শাসনকে ক্ষমতাচ্যুত করতে চায়।
স্বপ্ন হতে পারে পার্কের জন্য	কিন্তু তোমার জন্য না।
কেন আমরা বিপ্লব ঘটিয়েছিলাম?	কেন এর জন্য নিজেদের জীবনের ঝুঁকি নিয়েছিলাম?
বুসানে গেছিলে? 	ওখানের অবস্থা কী?
ওরা ছাত্র আর সাধারণ নাগরিক	 স্যার।
একটা স্টেশন পুড়িয়ে ফেলেছে।	 ওরা কোনো সাধারণ নাগরিক না।
হুমকিতে কাজ হবে না।	হুমকি?
গভর্নরকে পুনর্বহাল করুন		আর কংগ্রেসের সাথে ব্যাপারগুলো মিটিয়ে ফেলুন।
আমি কি নাগরিকদের হুমকি দিয়েছি?	প্রেসিডেন্ট সাহেব। 
রাজনীতির ব্যাপারে নজরটা একটু বড় করুন। 	 বুসান এবং মাসান  কোনো দ্বীপ না।
এই পরিস্থিতি সিউলেও ছড়াতে পারে।	সেটা থামানোর জন্যই তোমাকে ঐ অবস্থানে বসিয়েছি।
আমরা একটা জঙ্গলে লাগা আগুন  কীভাবে নেভাতে পারি?	আগুন নেভার জন্য আগে পুরো জঙ্গলকে পুড়তে হবে।
এই!	কেসিআইএ ডিরেক্টর একটা ছোট্ট দঙ্গাও দমন করতে পারছে না কেন?
কমিউনিস্টদের ছড়িয়ে পড়ার আগেই,	আমাদের বিশেষ পদক্ষেপ নিতে হবে।   
জানো তো, কম্বোডিয়াতে, 	ওরা ৩০ লাখ মানুষের জীবনের বলিদান দিয়েছে।
ট্যাংক দিয়ে দশ বিশ লাখ মানুষ মারা কিছুই না!	গয়াক ঠিক বলেছে।  
উদারপন্থীদের দিনগুলোয়,		জেলারেলদের মৃত্যুদন্ড দেওয়া হতো দাঙ্গাবাজদের দিকে গুলি ছোড়ার জন্য।
কিন্তু যদি আমি নির্দেশ দিই আমাকে কে মৃত্যুদন্ড দিবেতো?	স্যার। আপনিএকদম ঠিক বলেছেন।
ঠিক না, জেনারেল ছুন?	একদম।
সব ঠিক আছে। এবার সাপগ্যো নদীর অনুষ্ঠানে যাওয়া যাক। 	তোমাকে এখানেই থাকতে বলেছেন!
তোমার জন্য জায়গা নেই! 	 আমাদের স্যার আন জুং-গেউনের ভাষ্কর্য উন্মোচন অনুষ্ঠানটা বাতিল করা উচিত। 
কেন?	 ভাষ্কর্যে একটা ফাটল দেখা গেছে। 
ব্লু হাউস"জ্বি, প্রেসিডেন্ট সাহেব। 	আজ সন্ধ্যা ৬টায় একটা আয়োজন আছে, তোমার উপস্থিত হওয়া উচিত। 
কিছু কমিউনিস্ট ধরে, বুসানের দাঙ্গায় ঢুকিয়ে দাও।	আমরা ওদের উপর ট্যাংক চালাবো। 
এক্ষুনি করো!		চিফ অব স্টাফকে নিয়ে আসো।
জ্বি, স্যার।	২৬ অক্টোবর, ১৯৭৯,প্রেসিডেন্সিয়াল সেফ হাউস"বি উইং যাচ্ছে।
ভিআইপি আর দুইটা দূতের গাড়ি নিশ্চিত করা গেছে। 	রেক্টর কিম সেরা ককটেল বানায়।
 একমত, স্যার।	আমি বারটেন্ডার হিসেবে বেশ ভালো। 
ওর বদঅভ্যাসগুলোর সত্ত্বেও,মদটদের ব্যাপারে ও বেশ পাকা।	ডিরেক্টর কিম। 
জ্বি, স্যার।	আজকের রাতটা...তোমার জন্য আয়োজন করেছি।
দাও ঢেলে দিই।	নিজেকে কি অবহেলিত মনে হচ্ছে?
আসো।	এই ভ্রুকুটি মুছে ফেলো।
এত অহংকারের কিছু নেই।নাও।	চিফ অব স্টাফ, মাফ করবেন।
প্রেসিডেন্ট সাহেব হঠাৎ করেই বেরিয়ে গেছেন।	বেশ, অন্যদিন দেখা করা যাবে তাহলে।
না, একদম না।আমি জলদিই মিটিয়ে ফেলব।	চলুন আগে খাওয়া দাওয়া করবেন।  
যখন দেশজুড়ে বিশৃঙ্খলার সৃষ্টি হবে,	 আমরা সবাই মরব।
নিজেদের প্রস্তুত করো। 	চিফ অব স্টাফ উপস্থিত আছে।
একবার এসব শেষ হলে	ওনাকে আমরা নামসানে নিয়ে গিয়ে আর্মিকে নিয়ন্ত্রণে নিয়ে ফেলব।
প্রসিডেন্টকেও অন্তর্ভুক্ত করবেন?	আমরা তাকে আজ রাতেই মারব।
আজ রাতের সিকিউরিটি অনেক টাইট।	আমাদের পেছানো উচিত।
না।	তখন খবর বাইরে ছড়াবে।
কিছু দক্ষ ছেলেদের হাতে রাখো। 	শুভ সন্ধ্যা, স্যার।
এই।	খেয়েছেন?
হ্যাঁ, খাও, 	আমি খেয়েছি।
বেশ।	প্রেসিডেন্ট সাহেব বেশি খান না।
কেসিআইএ পুরো জায়গার সিকিউরিটি দিচ্ছে,	তাই চিন্তার কিছু নেই।স্যার, আমায় মদ ঢালার অনুমতি দিন। 
অবশ্যই।	বিপ্লবের রাতের কথা মনে আছে?
আপনি আর আমি দুইজনে হান নদীর অর্ধেক পথ পাড়ি দিয়ে দেখি,	সামনে মিলিটারি পুলিশ লাইন।
আমি জিপ রেখে আপনার পিছে পিছে ব্রিজে গেছিলাম একটা গুলি উড়ে আসে।	এতই অন্ধকার যে কিছু দেখা যাচ্ছিল না।
